,LotArea,LotFrontage,Alley,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,OpenPorchSF,EnclosedPorch,GarageArea,SalePrice
43,7379,68.0,0,8,2000,2000,0.0,484.0,975.0,975,873,1848,7,592.0,184,0,592.0,208184.65
44,8000,80.0,0,7,2002,2002,0.0,833.0,1492.0,1492,0,1492,6,596.0,137,0,596.0,217122.24
45,10456,0.0,0,6,1967,1967,120.0,506.0,1829.0,1829,0,1829,8,535.0,76,0,535.0,187907.32
46,10791,80.0,0,6,1993,1993,0.0,1137.0,1280.0,1280,1215,2495,9,660.0,32,0,660.0,243770.67
47,18837,0.0,0,6,1978,1978,0.0,687.0,1224.0,1287,604,1891,7,678.0,69,0,678.0,201156.35
48,9600,80.0,0,6,1971,1971,0.0,329.0,715.0,930,715,1645,7,441.0,78,0,441.0,176559.02
49,9600,80.0,0,5,1966,1966,172.0,698.0,1232.0,1232,0,1232,6,490.0,224,0,490.0,158226.3
50,9900,90.0,0,5,1966,1966,0.0,1059.0,1209.0,1209,0,1209,6,504.0,0,120,504.0,143636.5
51,9680,88.0,0,5,1967,1967,268.0,1010.0,1510.0,1510,0,1510,6,517.0,40,0,517.0,163743.0
52,10600,0.0,1,6,1964,1964,0.0,0.0,533.0,1131,644,1775,8,480.0,172,0,480.0,174247.24
53,13260,98.0,0,5,1962,2001,144.0,1500.0,1728.0,1728,0,1728,10,0.0,0,0,0.0,178287.07
54,9724,68.0,0,5,1952,2002,265.0,670.0,1140.0,1929,532,2461,7,400.0,0,0,400.0,193649.66
55,17360,120.0,0,6,1949,1950,340.0,300.0,782.0,1019,537,1556,6,470.0,0,150,470.0,147588.5
56,11380,75.0,0,6,1966,2008,216.0,944.0,1080.0,1128,0,1128,5,315.0,0,0,315.0,153470.0
57,8267,70.0,0,5,1958,1958,0.0,0.0,1604.0,1604,0,1604,8,576.0,0,0,576.0,155165.88
58,8197,70.0,0,7,2003,2009,506.0,1188.0,1480.0,1480,0,1480,7,620.0,73,0,620.0,244578.25
59,8050,0.0,0,5,1959,1959,150.0,856.0,1143.0,1143,0,1143,6,308.0,0,0,308.0,137371.5
60,10725,87.0,0,5,1959,1959,91.0,936.0,1206.0,1206,0,1206,6,312.0,21,0,312.0,135220.08
61,10032,80.0,0,6,1959,1959,432.0,734.0,1244.0,1580,0,1580,6,440.0,28,0,440.0,156285.5
62,8382,60.0,0,4,1956,1956,0.0,0.0,832.0,832,505,1337,5,263.0,0,0,263.0,120333.01
63,10950,60.0,0,5,1952,1952,0.0,339.0,864.0,1064,0,1064,4,318.0,0,0,318.0,122972.51
64,10895,119.0,0,5,1955,1955,0.0,648.0,972.0,972,0,972,5,305.0,0,205,305.0,121738.96
65,13587,70.0,0,5,1958,1958,0.0,532.0,988.0,988,0,988,5,264.0,0,0,264.0,126337.58
66,7898,65.0,0,4,1920,1994,0.0,0.0,576.0,985,0,985,4,676.0,0,0,676.0,126307.02
67,8064,60.0,0,6,1948,2004,0.0,481.0,816.0,816,408,1224,5,280.0,0,0,280.0,136810.75
68,7635,81.0,0,5,1960,1960,0.0,588.0,1175.0,1175,0,1175,6,484.0,0,0,484.0,134905.08
69,9760,80.0,0,6,1963,1984,218.0,717.0,1395.0,1395,0,1395,7,440.0,0,113,440.0,164885.0
70,4800,60.0,0,4,1900,1954,771.0,48.0,709.0,1157,687,1844,9,240.0,0,0,240.0,147063.08
71,4485,56.0,2,5,1920,1950,0.0,579.0,936.0,936,0,936,5,0.0,0,135,0.0,110720.19
72,5805,69.0,2,5,1957,1957,0.0,274.0,1347.0,1347,0,1347,6,551.0,0,0,551.0,139180.6
73,6900,50.0,0,6,1938,2000,0.0,0.0,827.0,827,424,1251,6,240.0,0,0,240.0,134081.25
74,11851,69.0,0,5,1948,2009,0.0,780.0,1027.0,1027,606,1633,7,240.0,100,126,240.0,163989.8
75,8239,0.0,0,5,1920,1962,0.0,176.0,1008.0,1060,185,1245,6,315.0,0,334,315.0,125198.88
76,9656,68.0,0,2,1923,1970,0.0,0.0,678.0,832,0,832,5,780.0,0,0,780.0,120013.33
77,9600,60.0,2,8,1900,2003,0.0,0.0,930.0,930,636,1566,7,288.0,228,246,288.0,144831.28
78,9000,50.0,2,8,1890,2002,0.0,0.0,346.0,1157,1111,2268,7,624.0,108,0,624.0,170875.49
79,9045,100.0,0,5,1910,1950,0.0,0.0,840.0,1128,1128,2256,12,0.0,18,18,0.0,148188.9
80,10560,60.0,0,6,1922,1994,0.0,283.0,738.0,868,602,1470,6,624.0,0,0,624.0,155088.0
81,5830,53.0,0,5,1950,1997,0.0,788.0,988.0,1030,582,1612,7,363.0,0,0,363.0,156852.4
82,7793,0.0,0,7,1922,2005,0.0,474.0,1108.0,1160,908,2068,8,315.0,0,60,315.0,182005.5
83,5000,50.0,0,4,1925,1950,0.0,188.0,765.0,765,0,765,4,200.0,0,41,200.0,103748.92
84,6000,50.0,0,6,1939,1950,0.0,452.0,608.0,608,524,1132,5,240.0,0,128,240.0,114963.13
85,6000,50.0,0,6,1940,1950,0.0,264.0,572.0,848,348,1196,6,576.0,0,0,576.0,125501.51
86,6360,53.0,0,5,1942,1950,300.0,360.0,835.0,955,498,1453,7,240.0,0,35,240.0,131751.5
87,6000,50.0,0,6,1948,1950,0.0,300.0,780.0,780,636,1416,6,312.0,0,48,312.0,128314.08
88,6240,52.0,0,5,1936,1980,0.0,276.0,528.0,548,492,1040,5,624.0,0,32,624.0,127169.51
89,6240,52.0,0,5,1930,1950,0.0,448.0,928.0,928,608,1536,7,480.0,10,0,480.0,133174.08
90,6120,51.0,0,6,1923,1950,0.0,960.0,1124.0,1068,0,1068,5,288.0,0,128,288.0,124317.88
91,8094,57.0,2,4,1915,1950,0.0,0.0,888.0,888,1074,1962,9,572.0,0,364,572.0,141070.22
92,12900,60.0,2,6,1912,2009,0.0,0.0,780.0,780,780,1560,7,0.0,0,0,0.0,139746.51
93,3068,52.0,2,6,1920,1993,0.0,0.0,662.0,662,662,1324,6,180.0,0,112,180.0,129798.21
94,15263,100.0,0,5,1959,1959,90.0,766.0,1422.0,1675,0,1675,8,365.0,132,0,365.0,163945.3
95,10632,72.0,0,5,1917,1950,0.0,0.0,689.0,725,499,1224,6,180.0,0,248,180.0,116854.88
96,9900,60.0,0,5,1915,1950,0.0,1026.0,1212.0,1212,180,1392,6,0.0,0,168,0.0,122323.38
97,6001,65.0,0,6,1940,1950,0.0,368.0,600.0,600,319,919,5,231.0,0,45,231.0,114289.31
98,6449,0.0,0,4,1907,1950,0.0,73.0,707.0,942,942,1884,7,0.0,0,239,0.0,119034.0
99,6048,60.0,0,5,1910,1950,0.0,736.0,856.0,936,744,1680,7,450.0,144,0,450.0,143007.37
100,10773,72.0,0,4,1967,1967,72.0,704.0,1832.0,1832,0,1832,8,0.0,58,0,0.0,146293.0
101,7800,65.0,0,5,1966,2008,47.0,240.0,864.0,892,0,892,5,416.0,0,0,416.0,135981.55
102,7832,65.0,0,5,1968,1968,0.0,775.0,864.0,864,0,864,4,280.0,0,0,280.0,127473.08
103,7424,0.0,0,5,1978,1978,0.0,1319.0,1319.0,1373,0,1373,5,591.0,0,0,591.0,167690.78
104,11227,86.0,0,5,1968,1968,0.0,267.0,720.0,720,720,1440,7,480.0,38,0,480.0,157578.97
105,20062,0.0,0,7,1977,2001,0.0,1092.0,1420.0,1483,0,1483,4,690.0,0,0,690.0,200249.47
106,9259,94.0,0,4,1927,1950,0.0,0.0,660.0,756,0,756,4,440.0,0,0,440.0,113313.42
107,17082,0.0,0,6,1978,1992,288.0,964.0,1117.0,1117,864,1981,8,522.0,104,0,522.0,207794.06
108,18600,124.0,0,3,1938,1990,0.0,288.0,972.0,1052,558,1610,8,480.0,0,60,480.0,152614.12
109,11479,65.0,0,6,1950,1987,0.0,104.0,663.0,1074,0,1074,6,467.0,52,52,467.0,137059.18
110,9350,50.0,0,4,1947,1979,0.0,192.0,756.0,1169,0,1531,8,209.0,0,0,209.0,132113.66
111,9525,75.0,0,5,1954,1998,0.0,954.0,1172.0,1172,0,1172,5,366.0,0,0,366.0,140896.0
112,17485,44.0,0,7,2009,2010,96.0,1346.0,1508.0,1508,0,1508,5,572.0,0,0,572.0,213098.3
113,11200,0.0,0,5,1964,1964,0.0,0.0,1250.0,1298,0,1298,5,504.0,144,0,504.0,145623.9
114,11980,83.0,0,7,1987,1987,177.0,1433.0,1433.0,1433,0,1433,4,528.0,278,0,528.0,212690.58
115,12361,87.0,0,6,1993,1993,85.0,860.0,946.0,964,838,1802,8,1017.0,92,0,1017.0,241592.61
116,7360,64.0,0,7,2010,2010,80.0,24.0,1222.0,1222,0,1222,6,615.0,54,0,615.0,195234.73
117,14235,82.0,0,6,1900,1993,0.0,0.0,676.0,831,614,1445,6,484.0,59,0,484.0,147098.5
118,11105,82.0,0,5,1996,1996,0.0,870.0,870.0,965,0,965,4,580.0,0,0,580.0,145146.0
119,9337,0.0,0,7,1997,1998,0.0,353.0,878.0,892,800,1692,8,513.0,39,0,513.0,192253.55
120,15240,38.0,0,5,1977,2004,0.0,198.0,1026.0,1026,0,1026,5,308.0,85,0,308.0,142155.79
121,7480,68.0,0,5,1972,1972,0.0,480.0,876.0,876,0,876,5,484.0,0,0,484.0,130796.01
122,10389,80.0,0,8,2003,2003,320.0,1682.0,1978.0,1978,0,1978,8,850.0,25,0,850.0,283821.03
123,9375,75.0,0,7,1997,1997,0.0,0.0,1040.0,1044,1054,2098,9,621.0,38,0,621.0,211078.7
124,4435,0.0,0,6,2003,2003,170.0,672.0,848.0,848,0,848,4,420.0,0,0,420.0,151032.75
125,8777,67.0,0,3,1945,2007,0.0,0.0,0.0,640,0,640,5,240.0,0,0,240.0,111562.94
126,8842,68.0,0,5,1954,1954,0.0,0.0,381.0,992,0,992,6,319.0,0,56,319.0,115335.31
127,10044,60.0,0,5,1968,1968,0.0,1070.0,1196.0,1196,0,1196,6,336.0,0,168,336.0,134726.88
128,11792,89.0,0,4,1948,1950,0.0,0.0,744.0,792,328,1120,5,480.0,0,0,480.0,119478.01
129,6305,65.0,0,6,1975,1975,0.0,528.0,1008.0,1096,0,1096,5,352.0,0,0,352.0,133574.08
130,6410,64.0,0,4,1958,1958,0.0,0.0,960.0,960,0,960,5,0.0,0,0,0.0,111523.58
131,4853,67.0,0,5,1924,1999,203.0,133.0,1107.0,1296,0,1296,5,260.0,0,36,260.0,132479.05
132,7890,0.0,0,6,1939,1950,0.0,238.0,856.0,856,0,856,4,399.0,0,0,399.0,121412.81
133,7200,60.0,1,4,1967,1967,0.0,0.0,0.0,862,1788,2650,10,0.0,0,0,0.0,159346.24
134,9839,51.0,0,5,1931,1950,0.0,0.0,894.0,894,772,1666,7,0.0,156,0,0.0,126905.41
135,10452,78.0,0,7,1941,1985,371.0,426.0,1528.0,1225,908,2133,8,312.0,0,86,312.0,195722.33
136,15600,78.0,0,5,1950,1991,430.0,375.0,1032.0,1102,1075,2177,11,484.0,0,0,484.0,217674.4
137,19645,85.0,0,7,1994,2007,44.0,343.0,423.0,896,756,1652,6,473.0,0,0,473.0,186538.87
138,3907,35.0,0,8,1989,1989,0.0,747.0,982.0,1034,0,1034,4,598.0,36,0,598.0,169804.13
139,3907,35.0,0,8,1989,1989,0.0,76.0,1191.0,1191,0,1191,5,531.0,81,0,531.0,184490.55
140,8154,58.0,0,2,1941,1950,0.0,480.0,480.0,540,0,540,4,200.0,0,0,200.0,102228.62
141,9140,50.0,0,6,1921,1975,0.0,308.0,629.0,727,380,1107,5,625.0,56,0,625.0,131151.93
142,8712,66.0,0,4,1896,1950,0.0,0.0,756.0,952,0,952,5,330.0,0,265,330.0,115987.46
143,3811,44.0,0,8,2004,2005,186.0,1373.0,1594.0,1646,0,1646,5,525.0,53,0,525.0,227933.55
144,11050,85.0,0,8,1998,1999,0.0,615.0,1049.0,1036,880,1916,8,741.0,70,0,741.0,230631.76
145,9620,74.0,0,6,1977,1977,0.0,679.0,1243.0,1285,0,1285,6,473.0,26,0,473.0,153725.0
146,12760,0.0,0,6,1976,1976,0.0,0.0,1958.0,2048,0,2048,9,776.0,0,0,776.0,215734.23
147,11896,88.0,0,7,2008,2008,60.0,78.0,1336.0,1346,0,1346,6,660.0,48,0,660.0,201449.6
148,9803,73.0,0,7,2009,2010,0.0,0.0,1214.0,1214,0,1214,6,520.0,25,0,520.0,187688.05
149,9802,73.0,0,5,2006,2007,0.0,0.0,384.0,744,700,1444,7,400.0,0,0,400.0,176715.87
150,15300,85.0,0,5,1965,1977,0.0,42.0,1068.0,1264,0,1264,7,528.0,0,0,528.0,144957.48
151,10114,93.0,0,5,2004,2005,0.0,0.0,1430.0,1430,0,1430,7,624.0,0,0,624.0,189675.77
152,11875,0.0,0,5,1999,1999,0.0,0.0,1344.0,1344,0,1344,7,686.0,0,0,686.0,178855.69
153,2394,31.0,0,5,1973,1973,0.0,915.0,945.0,945,0,945,5,253.0,0,56,253.0,129906.58
154,1476,21.0,0,4,1970,1970,0.0,176.0,546.0,546,546,1092,5,0.0,26,0,0.0,109654.0
155,1900,21.0,0,4,1970,1970,0.0,0.0,546.0,546,546,1092,5,0.0,0,0,0.0,108320.0
156,1890,21.0,0,4,1972,1972,0.0,294.0,546.0,546,546,1092,5,286.0,0,64,286.0,117412.08
157,6953,50.0,0,5,1971,2004,0.0,469.0,864.0,874,0,874,5,352.0,0,0,352.0,134418.0
158,12887,76.0,0,5,1984,1984,0.0,207.0,833.0,833,0,833,5,495.0,0,0,495.0,132840.51
159,7700,70.0,0,5,1985,1986,0.0,0.0,1216.0,1216,1216,2432,10,616.0,0,0,616.0,210210.28
160,10475,63.0,0,5,1991,1991,0.0,458.0,624.0,624,650,1274,6,576.0,0,0,576.0,165198.62
161,10544,68.0,0,5,1969,1969,0.0,476.0,864.0,864,615,1479,8,275.0,0,280,275.0,131146.88
162,9892,76.0,0,8,1994,1995,0.0,1341.0,1679.0,1803,0,1803,6,482.0,64,222,482.0,228962.08
163,12961,74.0,0,6,1993,1994,0.0,944.0,1152.0,1152,645,1797,7,616.0,312,0,616.0,211304.42
164,13008,74.0,0,6,1956,1956,0.0,564.0,882.0,882,0,882,5,502.0,0,0,502.0,129792.51
165,10200,85.0,0,6,1974,1974,440.0,844.0,1434.0,1434,0,1434,7,528.0,21,0,528.0,178183.3
166,10179,88.0,0,6,1997,1997,0.0,847.0,945.0,945,663,1608,7,470.0,30,0,470.0,190076.37
167,11792,0.0,0,8,2003,2003,188.0,850.0,1008.0,1008,1275,2283,9,632.0,46,0,632.0,236949.44
168,8400,60.0,0,7,1996,1997,32.0,284.0,384.0,958,670,1628,7,390.0,72,0,390.0,183741.97
169,7296,28.0,0,8,2004,2005,0.0,1965.0,2208.0,2522,0,2522,8,564.0,57,0,564.0,277692.52
170,7380,61.0,0,8,1998,1998,0.0,341.0,1418.0,1478,0,1478,5,495.0,43,0,495.0,200393.11
171,8013,57.0,0,8,1995,1996,0.0,741.0,1587.0,1734,0,1734,6,528.0,50,0,528.0,220074.15
172,8923,57.0,0,7,1998,1998,0.0,189.0,384.0,751,631,1382,7,396.0,0,0,396.0,180640.87
173,7500,60.0,0,6,1998,1999,0.0,476.0,952.0,952,684,1636,7,440.0,84,0,440.0,190242.27
174,8803,0.0,0,6,1994,1995,0.0,600.0,707.0,707,809,1516,7,409.0,46,0,409.0,182217.27
175,7250,58.0,0,6,1993,1993,45.0,0.0,1181.0,1190,0,1190,6,430.0,21,0,430.0,168191.29
176,11900,85.0,0,5,1977,1977,157.0,400.0,1122.0,946,988,1934,6,567.0,176,0,567.0,192979.55
177,13250,0.0,0,7,1978,1978,256.0,0.0,832.0,1154,896,2050,8,529.0,192,0,529.0,203346.95
178,10928,80.0,0,6,1978,1986,101.0,363.0,1427.0,1671,0,1671,7,484.0,55,0,484.0,187088.61
179,12388,0.0,0,7,1980,1991,229.0,602.0,1043.0,1539,1134,2673,9,441.0,84,0,441.0,229821.42
180,11088,80.0,0,6,1978,1998,144.0,832.0,1140.0,1707,0,1707,7,479.0,0,0,479.0,189062.83
181,7000,70.0,0,7,2003,2003,0.0,622.0,926.0,1016,868,1884,7,581.0,35,0,581.0,201787.51
182,7500,0.0,0,8,2000,2001,0.0,0.0,1058.0,1058,816,1874,7,588.0,134,0,588.0,201321.25
183,8470,0.0,0,8,2002,2002,0.0,225.0,972.0,972,839,1811,7,565.0,48,0,565.0,195823.9
184,9373,0.0,0,5,1975,1975,161.0,1333.0,1621.0,1621,0,1621,7,478.0,0,0,478.0,181440.25
185,10140,78.0,0,6,1974,1974,196.0,888.0,1116.0,1116,0,1116,6,528.0,0,0,528.0,152622.0
186,11050,85.0,0,7,1975,1975,0.0,636.0,1176.0,1193,0,1193,5,506.0,0,0,506.0,154101.5
187,7830,0.0,0,5,1970,1970,0.0,0.0,1180.0,1180,0,1180,6,477.0,45,0,477.0,143009.05
188,8510,0.0,0,5,1971,1971,178.0,500.0,1043.0,1050,0,1050,6,336.0,0,0,336.0,137950.5
189,7038,60.0,0,4,1970,1970,0.0,726.0,864.0,864,0,864,5,576.0,0,0,576.0,131587.51
190,9000,60.0,0,4,1971,2006,0.0,240.0,864.0,864,0,864,5,576.0,0,0,576.0,137402.9
191,1680,21.0,0,6,1973,1973,504.0,254.0,483.0,483,504,987,5,264.0,0,0,264.0,133701.0
192,1680,21.0,0,6,1972,1972,425.0,110.0,483.0,483,504,987,5,288.0,0,0,288.0,131410.5
193,2308,24.0,0,6,1976,1976,0.0,306.0,804.0,804,744,1548,7,440.0,0,0,440.0,168130.72
194,2280,24.0,0,7,1975,1975,0.0,435.0,1057.0,1055,0,1055,4,440.0,27,0,440.0,147011.75
195,2349,24.0,0,6,1977,1977,0.0,389.0,855.0,855,601,1456,6,440.0,28,0,440.0,159801.5
196,2364,24.0,0,6,1978,1978,0.0,320.0,804.0,804,744,1548,7,440.0,0,0,440.0,170723.72
197,2364,24.0,0,6,1978,1978,0.0,279.0,855.0,855,601,1456,6,440.0,0,0,440.0,157029.22
198,2104,24.0,0,7,1976,1976,0.0,536.0,836.0,836,0,836,5,345.0,20,0,345.0,136206.35
199,10710,0.0,0,5,1966,2004,165.0,644.0,864.0,1120,0,1120,5,656.0,162,0,656.0,162963.43
200,14257,110.0,0,9,2007,2007,726.0,1360.0,1776.0,1794,978,2772,10,754.0,64,0,754.0,336772.35
201,12350,95.0,0,9,2009,2009,0.0,986.0,1365.0,1365,1325,2690,8,864.0,197,0,864.0,287924.1
202,12350,95.0,0,9,2008,2008,450.0,1232.0,2020.0,2020,0,2020,7,896.0,98,0,896.0,297558.89
203,13693,105.0,0,10,2007,2007,472.0,2288.0,2630.0,2674,0,2674,8,762.0,50,0,762.0,319178.52
204,11578,95.0,0,9,2008,2008,302.0,0.0,1736.0,1736,0,1736,7,834.0,90,0,834.0,261114.75
205,16870,129.0,0,8,2004,2005,238.0,1531.0,1782.0,1782,0,1782,7,932.0,82,0,932.0,283928.46
206,23303,59.0,0,8,2007,2007,20.0,1230.0,1508.0,1508,1012,2520,10,640.0,273,0,640.0,290302.83
207,10367,87.0,0,9,2008,2008,284.0,1015.0,1739.0,1743,0,1743,8,927.0,45,0,927.0,282445.27
208,10872,77.0,0,9,2006,2006,122.0,1037.0,1504.0,1531,0,1531,6,700.0,52,0,700.0,244525.0
209,13514,102.0,0,9,2008,2008,285.0,1142.0,1774.0,1808,0,1808,7,850.0,26,0,850.0,279426.77
210,12878,90.0,0,7,2003,2004,418.0,1262.0,1760.0,1760,0,1760,8,583.0,190,0,583.0,266993.59
211,15274,110.0,0,9,2003,2003,724.0,1972.0,2452.0,2452,0,2452,10,886.0,116,0,886.0,333328.23
212,13262,96.0,0,8,2003,2004,186.0,0.0,1082.0,1105,1295,2400,10,730.0,40,0,730.0,253385.74
213,9658,70.0,0,8,2006,2006,383.0,0.0,1598.0,1606,0,1606,6,871.0,60,0,871.0,244599.26
214,6904,47.0,0,6,2005,2005,240.0,836.0,1358.0,1358,0,1358,6,484.0,36,0,484.0,190409.25
215,5122,34.0,0,6,2005,2005,135.0,881.0,1306.0,1306,0,1306,5,624.0,63,0,624.0,190127.87
216,10307,80.0,0,7,2007,2008,176.0,876.0,1350.0,1358,0,1358,6,484.0,26,0,484.0,199822.64
217,14836,100.0,0,10,2004,2005,730.0,2146.0,2492.0,2492,0,2492,8,949.0,235,0,949.0,333664.95
218,15262,117.0,0,8,2003,2004,470.0,1557.0,2200.0,2200,0,2200,8,685.0,55,0,685.0,295638.49
219,7390,44.0,0,9,2008,2009,308.0,800.0,1884.0,1884,0,1884,6,649.0,90,0,649.0,261346.71
220,6472,48.0,0,9,2008,2008,500.0,0.0,1451.0,1456,0,1456,6,539.0,42,0,539.0,219115.74
221,16770,129.0,0,8,2002,2003,270.0,1196.0,1712.0,1712,0,1712,8,701.0,183,0,701.0,280592.71
222,3480,48.0,0,7,2003,2003,163.0,0.0,1405.0,1405,0,1405,6,478.0,36,0,478.0,193674.2
223,10928,63.0,0,7,2005,2005,0.0,0.0,728.0,728,728,1456,8,390.0,0,0,390.0,185172.37
224,8918,57.0,0,6,2005,2006,0.0,0.0,745.0,745,745,1490,7,392.0,20,0,392.0,182327.37
225,3182,43.0,0,7,2005,2006,16.0,16.0,1220.0,1220,0,1220,5,397.0,16,0,397.0,180140.29
226,9434,59.0,0,7,2004,2005,0.0,0.0,384.0,744,630,1374,6,400.0,0,0,400.0,179487.37
227,7984,62.0,0,7,2004,2005,200.0,0.0,868.0,868,762,1630,7,436.0,48,0,436.0,188923.87
228,10125,61.0,0,7,2004,2004,0.0,0.0,846.0,846,748,1594,7,434.0,48,0,434.0,186927.37
229,8965,0.0,0,7,2003,2003,0.0,652.0,782.0,806,683,1489,8,400.0,75,0,400.0,189906.55
230,8174,0.0,0,7,2003,2003,0.0,494.0,698.0,698,644,1342,7,393.0,56,0,393.0,183059.87
231,12891,0.0,0,8,2002,2002,0.0,651.0,870.0,878,1126,2004,8,644.0,48,0,644.0,209539.65
232,9734,61.0,0,7,2004,2004,0.0,241.0,384.0,744,630,1374,7,400.0,0,0,400.0,182113.37
233,8433,42.0,0,6,2000,2000,0.0,683.0,794.0,819,695,1514,7,394.0,72,0,394.0,187125.92
234,7750,62.0,0,7,1999,2000,0.0,0.0,384.0,774,656,1430,7,400.0,0,0,400.0,180403.37
